answer1,answer2,label
During the 16th and 17th centuries,17th century,1.0
World War I,creation of modern Balkan and Middle Eastern states,0.0
wide variety of industries,"FMCG manufacturing, metal processing, steel and electronic manufacturing and food processing",1.0
12th/13th-century nobleman,shortened form of the masculine name of Slavic origin Warcisław,0.0
August 1944,the Red Army was nearing the city,0.0
Victory Square,1979,0.0
452.8 ft,115.7 metres,0.0
at the right bank of the Vistula,by the eastern border,0.0
Vistula Valley,geomorphologic,0.0
former flooded terraces,peat swamps or small ponds,0.0
plain Vistula terraces,highest terrace,0.0
Masovian gothic,Gothic architecture,1.0
1688–1692,1677–1683,0.0
1775–1795,1696,0.0
Pole Mokotowskie,Mokotów,1.0
city,Demographically,0.0
56.20%,35.7,0.0
Polonez,125p,0.0
Chevrolet Aveo,Aveo,1.0
Medical University of Warsaw,National Defence University,0.0
festivals,events,0.0
primarily along the frontiers between New France and the British colonies,Virginia in the South to Nova Scotia in the North,0.0
disaster; he was defeated in the Battle of the Monongahela,None succeeded,0.0
expulsion of the Acadians,deportation,0.0
unwilling to risk large convoys to aid the limited forces it had in New France,significantly increased,0.0
territory east of the Mississippi to Great Britain,France,0.0
much larger conflict between France and Great Britain,in King George's reign,0.0
"from Nova Scotia and Newfoundland in the north, to Georgia in the south",eastern coast of the continent,0.0
few British troops,not have any standing forces,0.0
"mustered local militia companies, generally ill trained and available only for short periods, to deal with native threats, but did not have any standing forces.",militia support,0.0
200 Troupes de la marine and 30 Indians,Céloron,0.0
"British merchants or fur-traders, Céloron informed them of the French claims on the territory and told them to leave.",buried lead plates,0.0
"very badly disposed towards the French, and are entirely devoted to the English",what way they could be brought back,0.0
British colonists would not be safe as long as the French were present,forceful,0.0
protect the King's land in the Ohio Valley from the British,"he moved south, he drove off or captured British traders",0.0
Tanaghrisson,the Mingo,0.0
colonel of the Iroquois,He who does great things,0.0
France's claim to the region was superior to that of the British,Sieur de La Salle had explored the Ohio Country nearly a century earlier,0.0
"Contrecœur led 500 men south from Fort Venango on April 5, 1754",40,0.0
"with Tanaghrisson and his party, surprised the Canadians on May 28 in what became known as the Battle of Jumonville Glen",killed many of the Canadians,0.0
"regain authority over his own people. They had been inclined to support the French, with whom they had long trading relationships",had promised,0.0
Albany Congress,the opening of hostilities,0.0
Washington and Thomas Gage,George Washington,1.0
Shirley and Johnson.,British,0.0
Colonel Monckton,British,0.0
deportation of the French-speaking Acadian population from the area.,captured Fort Beauséjour,0.0
Petitcodiac in 1755 and at Bloody Creek near Annapolis Royal in 1757,deportation of the French-speaking Acadian population from the area,0.0
Major General James Abercrombie,Lord Loudoun,0.0
Major General Louis-Joseph de Montcalm,Lord Loudoun,0.0
"attack on New France's capital, Quebec",one major operation,0.0
poor harvest,allegedly corrupt machinations of François Bigot,0.0
Loudoun,Duke of Cumberland,0.0
"disappearance of a strong ally and counterweight to British expansion, leading to their ultimate dispossession",elimination of French power,0.0
Choctaw and the Creek,tribes that did not want to do business with the British,0.0
on the ground,heavy bodies to fall,0.0
unnatural,natural motion,0.0
impetus,gravity,0.0
Galileo,Galileo Galilei,2.0
friction,gravity,0.0
Newton's First,first law,1.0
the same,a Galilean transformation,0.0
General relativity,coherent theory of quantum gravity,0.0
fixed,an equality,0.0
Newton's Third,The third law,1.0
magnitude,action-reaction,0.0
standard measurement scale,precise operational definitions,0.0
vector quantities,dependent upon how strong,0.0
Associating forces with vectors,know both the magnitude and the direction of both forces to calculate the result,0.0
Associating forces with vectors,adding the two force magnitudes or subtracting one from the other,0.0
respective lines of application,their effects on the motion of the body,0.0
orthogonal,uniquely determined,0.0
static friction,applied force,0.0
applied,applied force,0.0
forces,static equilibrium,0.0
spring reaction force,the force of gravity,0.0
gravity,object's weight,0.0
Galileo,Aristotle's,0.0
behind the foot of the mast,straight down,0.0
kinetic friction,object started with a non-zero velocity,0.0
Schrödinger,Newtonian equations,0.0
quantized,operators,0.0
antiparallel,antisymmetric,0.0
parallel,antisymmetric,0.0
force,4-momentum in relativity and momentum of virtual particles in quantum electrodynamics,0.0
conservation of momentum,the currently known fundamental forces,0.0
the Moon,the mass () and the radius () of the Earth,0.0
"Newton's Universal Gravitation Constant,",dimensional constant,0.0
ballistic trajectory,path between two space-time events,0.0
global,in space,0.0
Maxwell,James Clerk Maxwell,2.0
quantum mechanics,the work of leading theoretical physicists,1.0
residual of the force,nucleons in atomic nuclei,0.0
conservation of mechanical energy,the tension force on a load can be multiplied,0.0
movable pulleys,every string,0.0
stress tensor,deformations,0.0
pressure terms,stress tensor,0.0
pressure terms,matrix diagonals of the tensor),0.0
formalism,the relevant cross-sectional area for the volume for which the stress-tensor is being calculated,0.0
rotational equivalent for position,rotation,1.0
centripetal,unbalanced centripetal force,1.0
gradient of potentials,macrophysical considerations that yield forces as arising from a macroscopic statistical average of microstates,0.0
statistical mechanics,detailed,0.0
nonconservative forces,internal energies of the system,0.0
kilogram-force,pound-force,1.0
10th and 11th centuries,in the 10th and 11th centuries,2.0
10th century,the first half of the 10th century,1.0
Catholic,Catholic orthodoxy,1.0
Viking,"Norseman, Viking",1.0
Seljuk Turks,"the Pechenegs, the Bulgars, and especially the Seljuk Turks",1.0
1050s,in the 1050s,2.0
1060s,In the 1060s,2.0
1082,February 1082,1.0
Deabolis,the river Deabolis,1.0
1185,in 1185,2.0
King Ethelred II,Ethelred II,2.0
1041,in 1041,2.0
William II,Duke William II,2.0
1066,In 1066,2.0
King Malcolm III of Scotland,King Malcolm III,2.0
early 11th century,11th century,1.0
inherent difficulty,their inherent difficulty,2.0
determine the practical limits on what computers can and cannot do,what computers can and cannot do,2.0
round trip through all sites in Milan,asking for a round trip through all sites in Milan whose total length is at most 10 km,1.0
binary alphabet,binary,1.0
adjacency matrices,directly via their adjacency matrices,2.0
arbitrary graph,arbitrary,1.0
a single output,single,1.0
A function problem,function,1.0
the integer factorization problem,integer factorization,2.0
an increase in the input size,input size,1.0
Cobham's thesis,Cobham's,1.0
polynomial time algorithm,polynomial time,1.0
A deterministic Turing machine,deterministic,1.0
A probabilistic Turing machine,probabilistic,1.0
A non-deterministic Turing machine,non-deterministic,1.0
time and memory,time and memory consumption,1.0
the machines operate deterministically,deterministically,1.0
unusual resources,more unusual resources,2.0
time,non-deterministic time,1.0
state transitions,"the total number of state transitions, or steps",1.0
computational resource,computational,1.0
"best, worst and average","best, worst and average case",2.0
complexity measure,complexity,1.0
time,time complexity,1.0
deterministic sorting algorithm quicksort,quicksort,2.0
the computational model,specific details of the computational model used,2.0
linear time,linear,1.0
single-tape Turing machines,single-tape,1.0
Cobham-Edmonds thesis,Cobham-Edmonds,1.0
complexity class P,P,2.0
a proper hierarchy on the classes defined,a proper hierarchy on the classes,2.0
quantitative statements,quantitative,2.0
Karp reductions and Levin reductions,"Cook reductions, Karp reductions",1.0
polynomial-time reduction,polynomial-time,1.0
polynomial time,polynomial,1.0
there is no known polynomial-time solution,no known polynomial-time solution,2.0
Turing machines,deterministic Turing machines,1.0
more efficient solutions,shown to have more efficient solutions,2.0
The graph isomorphism problem,graph isomorphism,2.0
polynomial time hierarchy,polynomial time,1.0
second level,second,1.0
Laszlo Babai and Eugene Luks,Babai and Eugene Luks,2.0
The integer factorization problem,integer factorization,2.0
suspected to be unequal,unequal,1.0
P is not equal to NP,not equal,1.0
complexity classes,many complexity classes,1.0
exponential-time algorithms,exponential-time,1.0
NP-complete problems,NP-complete,2.0
Presburger arithmetic,Presburger,1.0
NP-complete knapsack problem,NP-complete knapsack,2.0
in less than quadratic time,less than quadratic time,2.0
NP-complete Boolean satisfiability problem,NP-complete Boolean satisfiability,2.0
foundations were laid out,numerous foundations were laid out,1.0
time and space,definitions of time and space complexity,1.0
10 counties,10,1.0
economic center,major economic center,2.0
demographics and economic ties,economic,1.0
Southern California Megaregion,the greater Southern California Megaregion,2.0
12 million,over 12 million inhabitants,1.0
San Diego,the San Diego area,2.0
17.5 million,over 17.5 million,1.0
beaches,for its popular beaches,1.0
open spaces,nearby open spaces,1.0
free,a free state,1.0
three-region,the three-region point of view,1.0
southern,southern California,1.0
international metropolitan,an international metropolitan region,1.0
Orange,Orange Counties,1.0
Mediterranean,a Mediterranean climate,1.0
Peninsular,Peninsular Ranges,1.0
$20 billion,over $20 billion,1.0
San Andreas,the San Andreas Fault,1.0
Puente Hills,the Puente Hills Fault,1.0
business,major business,1.0
business,major business districts,1.0
business,business districts,1.0
Orange,Orange County,1.0
Southern,Southern California,1.0
2018,in 2018,2.0
an official school sport,an official school,1.0
January 2010,In January 2010,2.0
VideoGuard,VideoGuard pay-TV,1.0
substantially increased the asking price,that BSkyB had substantially increased the asking price for the channels,1.0
Video On Demand,Video On Demand content,2.0
July 2013,In July 2013,2.0
share recordings,to share recordings and other media,1.0
2016,later in 2016,1.0
2016,in 2016,2.0
22 May 2006,on 22 May 2006,2.0
8 February 2007,On 8 February 2007,2.0
March,in March,2.0
1991,autumn of 1991,1.0
"100,000","over 100,000",1.0
Video On Demand,Video On Demand service,2.0
25m,25m people,1.0
36%,36% of households,1.0
essentials,"only ""essentials""",1.0
Sky TV bills,"claimants' ""Sky TV bills",1.0
no,no indication,1.0
basic channels,the carriage of their respective basic channels,1.0
diversified,highly diversified,1.0
Buckland Valley,Buckland Valley near Bright,2.0
"over 1,000","1,000",1.0
Liberal Party,Liberal Party of Australia,1.0
National Party,National Party of Australia,1.0
most densely populated,most,0.0
"""entrenched"" provisions","certain ""entrenched"" provisions",2.0
2009,the 2009 southeastern Australia heat wave,1.0
state or government,state or government schools,1.0
some extra costs,some extra costs are levied,2.0
curriculum,curriculum standards,2.0
May 2013,in May 2013,2.0
October 2016,in October 2016,2.0
"2,000 m","almost 2,000 m",1.0
freight services,freight,1.0
passenger,"extensive, electrified, passenger system",1.0
1851,in 1851,2.0
two-thirds,nearly two-thirds,1.0
"1,600 mm","1,600 mm (5 ft 3 in) broad gauge",1.0
"1,435 mm","1,435 mm (4 ft 8 1⁄2 in) standard gauge",1.0
760 mm,760 mm (2 ft 6 in) narrow gauge lines,1.0
most seats,the most seats in the Legislative Assembly,1.0
representatives,representatives elected to either house of parliament,1.0
sports,sports tourism,1.0
regional cities,in regional cities,2.0
about one-eighth the number,about one-eighth,2.0
from 1562 to 1598,1562 to 1598,2.0
Amboise plot,Amboise,1.0
availability of the Bible in vernacular languages,the Bible in vernacular languages,1.0
Around 1294,1294,1.0
at the Cape of Good Hope,Cape of Good Hope,2.0
"Charleston, South Carolina",Charleston,1.0
the British Landgrave Edmund Bellinger,Edmund Bellinger,2.0
Pons,Pons in France,1.0
William III of Orange,Stadtholder William III of Orange,2.0
their own militia,the Huguenots had their own militia,1.0
one million,Approximately one million,1.0
"""Huguenot Street Historic District"" in New Paltz",Huguenot Street Historic District,1.0
"an estimated total of 75,000 to 100,000 people","75,000 to 100,000",1.0
ca. 2 million,2 million,1.0
the revocation of the Edict of Nantes,Edict of Nantes,1.0
"Kent, particularly Sandwich, Faversham and Maidstone","Sandwich, Faversham and Maidstone",1.0
a High Sheriff and one of the founders of the Bank of Ireland,High Sheriff,1.0
granted the Protestants equality with Catholics,granted the Protestants equality,1.0
the founding of new Protestant churches,founding of new Protestant churches in Catholic-controlled regions,1.0
wine industry,wine,1.0
"Charleston, South Carolina",Charleston,1.0
in protest against the occupation of Prussia by Napoleon,in protest,1.0
the Catholic Church in the region,Catholic Church,1.0
12 May 1705,1705,1.0
"""Apologie""","Apologie"" of William the Silent",1.0
the doctrine of transubstantiation,doctrine of transubstantiation during Mass,1.0
Williamite war,Williamite,1.0
flax cultivation,flax,1.0
Irish linen industry,linen,1.0
Prince Louis de Condé,Louis de Condé,2.0
Count Ludwig von Nassau-Saarbrücken,Ludwig von Nassau-Saarbrücken,2.0
they were accepted and allowed to worship freely,allowed to worship freely,1.0
"little Hugos, or those who want Hugo",little Hugos,1.0
double or triple non-French linguistic origins,non-French linguistic origins,1.0
Jean Cauvin (John Calvin),Jean Cauvin,2.0
acted increasingly aggressively to force the Huguenots to convert,aggressively,1.0
"John Pell, Lord of Pelham Manor",John Pell,2.0
into the nineteenth century,well into the nineteenth century,1.0
Huguenots furnished two new regiments,two new regiments,1.0
Federal Minister of the Interior,Minister of the Interior,2.0
solar,solar power,1.0
Rankine,Rankine cycle,1.0
1712,around 1712,1.0
Abercynon,Abercynon in south Wales,2.0
Wales,south Wales,1.0
lower-pressure boiler feed water,water,1.0
three,three or four,1.0
quadruple expansion engines,quadruple,1.0
lengthening rubbing surfaces of the valve,lengthening rubbing surfaces,1.0
first,first century AD,1.0
late,late part,1.0
several hundred,several hundred horsepower,1.0
electric,electric heating element,1.0
port,additional port,1.0
565,565 °C,1.0
Stockton and Darlington,Stockton and Darlington Railway,1.0
cylinder volume,cylinder,1.0
reciprocating steam engines,reciprocating,1.0
